"Type","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO","GO:0030522","intracellular receptor signaling pathway","78/1618","353/18870",3.85758490514903e-15,2.24858624121137e-11,1.6827191417829e-11,"RARA/F2RL1/TRIM31/CITED2/PML/RARB/DHRS3/BIRC3/NR1H4/PELI1/CALCOCO1/FOXP1/MN1/DCBLD2/PIM1/AKR1C3/STRN3/MYD88/EP300/NR3C1/DHX58/PUM1/NOP53/NLRP3/RORC/HNF4G/GPATCH3/PIK3AP1/ZMIZ1/RIPK2/ISL1/RSAD2/NEDD4/NR2F1/NR4A2/NOD1/NKX3-1/BMP2/AHR/GBP2/ALPK1/KLF2/USP15/NR4A3/NR1D1/NFKBIA/NOD2/PER1/GPER1/WBP2/ANKRD17/PRKD1/TRIM24/LBH/TNFAIP3/NR5A2/CYP26B1/ALOXE3/NR1I2/SIRT1/ARID1A/TP63/NR3C2/TKFC/AR/SIRT2/TRERF1/PLCG2/EIF2AK2/STING1/TLR3/PTPN22/PTGIS/SLC15A3/OAS3/TLR4/TICAM1/NR4A1",78
"GO","GO:0001763","morphogenesis of a branching structure","48/1618","203/18870",6.48262433586611e-11,1.34551855305658e-07,1.00691260284177e-07,"MYC/EPHA2/GRHL2/SOCS3/FGF2/GBX2/PML/SOX9/NFATC4/SIX4/EDN1/SPRY2/PTCH1/CSF1/PBX1/FRS2/SIX1/HOXA5/FOXC2/SPRY1/GZF1/ADM/COL4A1/NKX3-1/BMP2/EYA1/KDM5B/SHH/SETD2/HOXA13/WNT2B/NOG/PRDM1/LRRK2/MMP14/TMED2/HOXB13/TBX20/FZD5/CASR/FGF1/DCHS1/TP63/DLX2/EXT1/AR/GLI2/GNA13",48
"GO","GO:0072001","renal system development","65/1618","324/18870",6.92495395294173e-11,1.34551855305658e-07,1.00691260284177e-07,"PDGFB/RARA/MYC/LIF/SMAD7/FGF2/ARID5B/EGR1/SOX9/RARB/SIX4/SOX4/ODC1/ACVR2B/PTCH1/OSR2/CD24/MEF2C/PBX1/SIX1/FLCN/CNTRL/GLIS2/FOXC2/MTSS1/EFNB2/SPRY1/GZF1/COL4A1/GCNT1/NKX3-1/BMP2/PODXL/EYA1/SHH/ERBB4/WNT2B/SDC1/NOG/TIPARP/GCNT4/PRDM1/CDKN1C/LRRK2/MPV17/PRICKLE1/ADAMTS6/CTNS/STRA6/CYP26B1/FGF1/IFT27/DCHS1/OVOL1/ACE/EXT1/ASS1/ADAMTS1/GATA3/SLC22A1/ACTA2/GLI2/STAT1/EPHA4/HAS2",65
"GO","GO:0001822","kidney development","63/1618","314/18870",1.35354326053465e-10,1.89312187450485e-07,1.41670902257281e-07,"PDGFB/RARA/MYC/LIF/SMAD7/FGF2/ARID5B/EGR1/SOX9/RARB/SIX4/SOX4/ODC1/ACVR2B/PTCH1/OSR2/CD24/MEF2C/PBX1/SIX1/FLCN/CNTRL/GLIS2/FOXC2/MTSS1/EFNB2/SPRY1/GZF1/GCNT1/NKX3-1/BMP2/PODXL/EYA1/SHH/ERBB4/WNT2B/SDC1/NOG/TIPARP/GCNT4/PRDM1/CDKN1C/LRRK2/MPV17/ADAMTS6/CTNS/STRA6/CYP26B1/FGF1/IFT27/DCHS1/OVOL1/ACE/EXT1/ASS1/ADAMTS1/GATA3/SLC22A1/ACTA2/GLI2/STAT1/EPHA4/HAS2",63
"GO","GO:0071496","cellular response to external stimulus","67/1618","346/18870",1.76423731744965e-10,1.89312187450485e-07,1.41670902257281e-07,"SLC2A1/CDKN1A/ANKRD1/FOSL1/GADD45A/PDK4/FOS/PTGER4/ADORA2B/CPEB4/FGF2/NUAK1/MAP3K1/KLF10/NUAK2/JMY/CREBBP/SOX9/NFE2L2/NR1H4/PLD1/ZC3H12A/MN1/TNFRSF10A/PIM1/AMBRA1/AKR1C3/MYD88/EP300/IL1B/FLCN/MAP3K5/SESN1/MAP3K14/RICTOR/GDAP1/ERCC6/NFKB1/NR4A2/TNRC6A/UCP2/CASTOR1/BMT2/ATF3/BHLHA15/PMAIP1/WNT2B/MLXIPL/MFSD2A/LRRK2/BCL10/TSSK3/MAP2K4/PRKD1/COL1A1/TRIM24/CDKN2B/UCN3/UCN2/CASR/IRF1/SIRT1/FAS/PTGS2/EIF2AK2/TLR3/TLR4",67
"GO","GO:0050673","epithelial cell proliferation","84/1618","480/18870",1.94865864591338e-10,1.89312187450485e-07,1.41670902257281e-07,"PDGFB/CDKN1A/MYC/THBS1/EPHA2/F3/EGR3/FGF2/WNT7A/SRSF6/SOX9/CCL2/SIX4/PRKD2/IQGAP3/KLF9/PTCH1/THAP1/DUSP10/OSR2/SGPP2/FERMT1/MEF2C/FUT2/FRS2/TCF7L2/FGFR1/SIX1/FLCN/WDR77/HOXA5/NFKBIZ/RICTOR/MTSS1/EFNB2/EREG/RUNX2/HYAL1/WDR13/NKX3-1/ALOX5/EYA1/SPINK1/KDM5B/SHH/NKX6-1/RREB1/RUNX3/NR4A3/NR1D1/RGCC/FST/NOD2/NOG/PLXNB3/ZFP36L1/ODAM/CDKN1C/POLD4/COL8A1/MMP14/PRKD1/TRIM24/ACVR2A/CDKN2B/TNFAIP3/JCAD/IL6/APOE/FGF1/SIRT1/TP63/OVOL1/IL12A/IGFBP3/AR/FGFBP1/GATA3/ANG/FAP/STAT1/IRS2/HAS2/NR4A1",84
"GO","GO:0002237","response to molecule of bacterial origin","69/1618","369/18870",4.61746822264181e-10,3.46248676921801e-07,2.59113600267978e-07,"RARA/ANKRD1/FOS/PTGER4/ARID5A/CCL2/EPHB2/SERPINE1/NR1H4/EDN1/NOCT/ZC3H12A/PELI1/FOXP1/IRAK2/CXCL8/IRF8/DUSP10/PDCD4/IL1A/MYD88/CD24/IL1B/MEF2C/NFKBIZ/HDAC5/FOSL2/NLRP3/CD274/NFKB2/RIPK2/NFKB1/ADM/CMPK2/AHR/GBP2/CYP1A1/CXCL2/CXCL1/NR1D1/CSF2/NFKBIA/NOD2/TSPO/ABCA1/PTGFR/CXCL3/BCL10/CNP/TNFAIP3/TNFRSF1B/FZD5/IL6/TRIB1/ADH5/IL12A/ACE/SLPI/ASS1/CASP7/LGALS9/ADAMTS13/PLCG2/PTGS2/PRKCE/PTPN22/TLR4/TICAM1/NR4A1",69
"GO","GO:0061138","morphogenesis of a branching epithelium","44/1618","187/18870",4.75208340259806e-10,3.46248676921801e-07,2.59113600267978e-07,"MYC/EPHA2/GRHL2/SOCS3/FGF2/GBX2/PML/SOX9/NFATC4/SIX4/EDN1/SPRY2/PTCH1/CSF1/PBX1/FRS2/SIX1/HOXA5/FOXC2/SPRY1/GZF1/ADM/COL4A1/NKX3-1/BMP2/EYA1/KDM5B/SHH/HOXA13/WNT2B/NOG/MMP14/TMED2/HOXB13/TBX20/FZD5/CASR/FGF1/DCHS1/TP63/EXT1/AR/GLI2/GNA13",44
"GO","GO:0032496","response to lipopolysaccharide","66/1618","348/18870",5.99833141717165e-10,3.88491931452151e-07,2.90726144944554e-07,"RARA/ANKRD1/FOS/PTGER4/ARID5A/CCL2/EPHB2/SERPINE1/NR1H4/EDN1/NOCT/ZC3H12A/PELI1/FOXP1/IRAK2/CXCL8/IRF8/DUSP10/PDCD4/IL1A/MYD88/IL1B/MEF2C/NFKBIZ/HDAC5/FOSL2/NLRP3/CD274/NFKB2/RIPK2/NFKB1/ADM/CMPK2/GBP2/CYP1A1/CXCL2/CXCL1/NR1D1/CSF2/NFKBIA/NOD2/TSPO/ABCA1/PTGFR/CXCL3/BCL10/CNP/TNFAIP3/TNFRSF1B/IL6/TRIB1/ADH5/IL12A/ACE/SLPI/ASS1/CASP7/LGALS9/ADAMTS13/PLCG2/PTGS2/PRKCE/PTPN22/TLR4/TICAM1/NR4A1",66
"GO","GO:0060562","epithelial tube morphogenesis","64/1618","334/18870",7.06819949160338e-10,4.12005348365561e-07,3.08322302033731e-07,"CXCR4/RARA/MYC/EPHA2/RHOB/GRHL2/FGF2/GBX2/CITED2/PML/SOX9/NFATC4/SIX4/EDN1/PRKD2/FOXP1/SPRY2/PTCH1/PLXNB2/NR3C1/CSF1/MEF2C/PBX1/SIX1/BRD2/HOXA5/RNF207/FOXC2/MTSS1/EFNB2/SPRY1/GZF1/GRHL3/ADM/COL4A1/SALL4/MESP1/NKX3-1/BMP2/DLC1/PODXL/EYA1/TBX6/KDM5B/SHH/SETD2/WNT2B/NOG/STARD13/MMP14/TMED2/BCL10/PRICKLE1/CTNS/TBX20/CASR/FGF1/DCHS1/EXT1/AR/GATA3/GLI2/GNA13/EPHA4",64
